A,0,1,2,3,4,5,6,7,8,9,label
143,0.08606602,-0.04092762,-0.017821334,0.048145164,-0.02239982,0.03748461,0.015297107,-0.07391973,-0.026439138,0.019684587,hold
144,0.025026731,0.031991817,-0.023485752,0.056404002,0.029485468,-0.06833569,-0.058384143,0.07932061,0.000326652,-0.023485739,hold
145,0.12099048,-0.070511185,0.050480932,0.04593586,0.04524504,-0.038486008,-0.01881085,0.015555744,-0.048152085,-0.008605612,hold
146,0.05874172,-0.07209813,-0.020469915,-0.020511866,-0.041502032,-0.021509752,-0.04152381,0.04043564,-0.025895115,0.03570483,hold
147,0.037102327,-0.08387959,0.05076681,0.09364528,-0.039169706,0.0492095,-0.021131163,-0.06806727,-0.001108965,0.009016116,hold
148,0.023011426,-0.08130687,0.000372304,0.023563232,0.09535019,0.016417146,-0.029997844,0.004581336,-0.04782783,-0.023710072,hold
149,0.13538258,-0.049510274,0.037357397,0.09388924,0.069058016,0.03786594,-0.0529508,0.00854108,-0.05985523,0.044718415,hold
150,0.038497675,0.009781691,0.03713144,0.003705487,-0.015553675,0.044129156,0.011746001,0.029799417,0.044097535,-0.027528455,hold
151,-0.044091076,0.018026324,-0.003190763,0.01758833,0.004732561,-0.011294235,-0.039870102,0.042672373,-0.0195354,-0.026408248,hold
152,0.033173904,-0.016304096,0.062461972,0.066891536,-0.044455968,-0.050897684,-0.051279265,0.026806409,-0.020366134,0.015225707,hold
153,-0.009864542,-0.019056302,0.008693075,0.018619083,0.039702434,0.027157625,0.018313803,0.00604041,-0.018182473,0.029722167,hold
154,-0.011876596,-0.10541522,0.026809832,0.046088785,0.020020757,-0.016548261,-0.011487484,-0.045258284,-0.02838105,0.057118855,hold
155,0.014779692,-0.039815646,0.03622233,-0.03388267,-0.046113197,0.045891654,-0.054892655,0.028789155,0.020725377,0.03194719,hold
156,0.03804525,-0.089428276,0.036720403,0.07666338,0.08700869,-0.006877059,-0.06639503,0.000429061,-0.023084914,0.04259613,hold
